INFO 2022-02-16 18:57:45,216 autoreload 29892 31348 Watching for file changes with StatReloader
DEBUG 2022-02-16 18:57:45,218 autoreload 29892 31348 Waiting for apps ready_event.
DEBUG 2022-02-16 18:57:46,992 autoreload 29892 31348 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-02-16 18:57:47,023 autoreload 29892 31348 Watching dir C:\Users\Black\AppData\Local\Programs\Python\Python37\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2022-02-16 18:57:47,023 autoreload 29892 31348 Watching dir C:\Users\Black\Desktop\Cordova\BackEnd_GeoSport\locale with glob **/*.mo.
DEBUG 2022-02-16 18:57:47,023 autoreload 29892 31348 Watching dir C:\Users\Black\AppData\Local\Programs\Python\Python37\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2022-02-16 18:57:47,023 autoreload 29892 31348 Watching dir C:\Users\Black\AppData\Local\Programs\Python\Python37\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2022-02-16 18:57:47,023 autoreload 29892 31348 Watching dir C:\Users\Black\Desktop\Cordova\BackEnd_GeoSport\GeoRun\locale with glob **/*.mo.
DEBUG 2022-02-16 18:57:47,161 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\asyncio\protocols.py first seen with mtime 1597701464.0
DEBUG 2022-02-16 18:57:47,161 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1643805875.9039423
DEBUG 2022-02-16 18:57:47,161 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1643805877.4649467
DEBUG 2022-02-16 18:57:47,161 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\site-packages\idna\intranges.py first seen with mtime 1620401345.6055884
DEBUG 2022-02-16 18:57:47,161 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\site-packages\urllib3\poolmanager.py first seen with mtime 1620401345.313468
DEBUG 2022-02-16 18:57:47,162 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\asyncio\locks.py first seen with mtime 1597701464.0
DEBUG 2022-02-16 18:57:47,162 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\heapq.py first seen with mtime 1597701466.0
DEBUG 2022-02-16 18:57:47,162 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\views\i18n.py first seen with mtime 1643805877.6709473
DEBUG 2022-02-16 18:57:47,162 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1643805877.5779476
DEBUG 2022-02-16 18:57:47,162 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1643805877.5759478
DEBUG 2022-02-16 18:57:47,162 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\site-packages\rest_framework\mixins.py first seen with mtime 1645019726.3782122
DEBUG 2022-02-16 18:57:47,162 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\xml\dom\NodeFilter.py first seen with mtime 1597701462.0
DEBUG 2022-02-16 18:57:47,162 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\site-packages\chardet\big5freq.py first seen with mtime 1620401345.7379875
DEBUG 2022-02-16 18:57:47,162 autoreload 29892 31348 File C:\Users\Black\AppData\Local\Programs\Python\Python37\Lib\site-packages\yaml\cyaml.py first seen with mtime 1620569831.6861508
